id;sid;name;type;owner;parent;tm
942643;041D4584B42D2A9EAD449494F1864F70;Саша;32;897313;767068;1526742953
1189505;74484AC5DB2928496880A7E6E6C1CFEF;корпорации;32;893891;756033;1544353712
1029514;0349B41A7AD1D5CA8A918DEE8B96E786;Изменения с 2019;32;897313;767068;1540588093
952206;F854195F0F62F66F626C76D5229871D2;иск о признании;32;893891;756033;1529470364
1181131;DD652660A2E3F997BFF72B1714EF2F76;НТЭК;33;893891;756033;1543335375
1360981;B3A954BEE5DE1CA77257B87961B45205;6.1.1 КоАП суд практика;32;893891;756033;1563597047
1190442;ABB380D5DDC699BDED8DA0C023F8CFE8;трудоустройство;32;893891;756033;1544458203
1181132;94B3AECA7CD2BA4D0262EBE1CC9D64E7;пользование жилыми помещениями;32;893891;1181131;1543335375
1375563;8C01E3F45796AF58BCCE2C4495A8FBEC;Корпоративная карта;32;893891;756033;1566896684
1194722;6C3C658CE1DE07E5DFDF524CDFD1DA24;агентский договор;32;893891;756033;1545143290
942651;4118D3451ACBD4FC0384249537891B5A;Банкротство ИП;32;893891;756033;1526917355
950477;3C657448B17F750B671E45DD3482F4F1;Некоммерческие организации;32;893891;756033;1544457371
1194725;3198F03AE7F96291F7A9D74D868B5196;товарный знак;32;893891;756033;1545107349
945214;318316891716D7692DCC48ED089754A2;сайт отдельная.рф;32;893891;756033;1527261859
756033;2ED0968242DBB70C5E888A639BAC3665;Мои папки;1;893891;756032;1566896684
1029513;A065570DC4B1A5AC6B741CADA4992742;НДС;32;897313;767068;1540586496
950503;08234F07D1BE7179F93ABF9DD5AF6DEC;групповое исковое производство;32;893891;756033;1528813701
767068;A9181C87BFB5270106FBCAC3141A70B3;Мои папки;1;897313;767067;1596888812
1362709;06AC3D93BFEFBBD5A95F76E7E28ECE7C;изъятие жилого помещения;32;893891;756033;1563980509
756034;0;Документы на контроле;2;893891;756032;1540892880
756032;;;1;893891;0;1566896684
