id;objid;docn;basename;dtmod;sliceid;family
9666571;790306;92632;CJI;0;-1;-1
9666572;895356;109485;CJI;0;-1;-1
9666574;904125;490932;ARB001;0;-1;-1
9666576;848854;5155;CJI;0;-1;-1
9666577;848854;7242;CJI;0;-1;-1
9666578;848854;7250;CJI;0;-1;-1
9666579;848854;8485;CJI;0;-1;-1
9666580;848854;9019;CJI;0;-1;-1
9666581;848854;9412;CJI;0;-1;-1
9666582;848854;9565;CJI;0;-1;-1
9666583;848854;23314;CJI;0;-1;-1
9666584;848854;25846;CJI;0;-1;-1
9666585;848854;27564;CJI;0;-1;-1
9666586;848854;33611;CJI;0;-1;-1
9666587;848854;35901;CJI;0;-1;-1
9666588;848854;37085;CJI;0;-1;-1
9666589;848854;37861;CJI;0;-1;-1
9666590;848854;40159;CJI;0;-1;-1
9666591;848854;40425;CJI;0;-1;-1
9666592;848854;41468;CJI;0;-1;-1
9666593;848854;42702;CJI;0;-1;-1
9666594;848854;44569;CJI;0;-1;-1
9666595;848854;47934;CJI;0;-1;-1
9666596;848854;49315;CJI;0;-1;-1
9666597;848854;56087;CJI;0;-1;-1
9666598;848854;78077;CJI;0;-1;-1
9666599;848854;83002;CJI;0;-1;-1
9666600;848854;83579;CJI;0;-1;-1
9666601;848854;89265;CJI;0;-1;-1
9666602;848854;101960;CJI;0;-1;-1
9666603;848854;18101;CMB;0;-1;-1
9666616;789324;513568;ARB001;0;-1;-1
10225455;790305;96569;CJI;0;-1;-1
10225456;790305;104683;CJI;0;-1;-1
10605903;929334;107865;CJI;0;-1;-1
10765159;942643;535362;ARB002;0;-1;-1
10765160;942643;535977;ARB002;0;-1;-1
10765161;942643;536929;ARB002;0;-1;-1
10765162;942643;537195;ARB002;0;-1;-1
10765163;942643;537365;ARB002;0;-1;-1
10765164;942643;537370;ARB002;0;-1;-1
10765165;942643;537417;ARB002;0;-1;-1
10765166;942643;537423;ARB002;0;-1;-1
10765167;942643;537934;ARB002;0;-1;-1
10787812;942651;42901;LAW;0;-1;-1
10787813;942651;151139;LAW;0;-1;-1
10787814;942651;187354;LAW;0;-1;-1
10787815;942651;296544;LAW;0;-1;-1
10787816;942651;12098;CJI;0;-1;-1
10903586;945214;281568;LAW;0;-1;-1
11407706;950503;18570;CMB;0;-1;-1
11719736;952206;75194;CJI;0;-1;-1
11719737;952206;76863;CJI;0;-1;-1
11719738;952206;78337;CJI;0;-1;-1
11719739;952206;79891;CJI;0;-1;-1
13543713;983525;114266;CJI;0;-1;-1
14573365;871494;181602;LAW;0;-1;-1
14573366;871494;73328;CJI;0;-1;-1
14573367;871494;80380;CJI;0;-1;-1
14573368;871494;87402;CJI;0;-1;-1
14573369;871494;94824;CJI;0;-1;-1
14573370;871494;97751;CJI;0;-1;-1
14573371;871494;99303;CJI;0;-1;-1
14573372;871494;99493;CJI;0;-1;-1
14573373;871494;99600;CJI;0;-1;-1
14573374;871494;99955;CJI;0;-1;-1
14573375;871494;101927;CJI;0;-1;-1
14573376;871494;109376;CJI;0;-1;-1
14573377;871494;111454;CJI;0;-1;-1
14573378;871494;114525;CJI;0;-1;-1
14573379;871494;17748;CMB;0;-1;-1
14573380;871494;46;PPVS;0;-1;-1
14820975;993997;34;PPN;0;-1;-1
15393951;1029513;309635;LAW;0;-1;-1
15393959;1029514;304058;LAW;0;-1;-1
17222157;1181132;44772;LAW;0;-1;-1
17222158;1181132;57956;LAW;0;-1;-1
17222159;1181132;309095;LAW;0;-1;-1
17763340;1189505;161322;LAW;0;-1;-1
17763341;1189505;18222;CMB;0;-1;-1
17845787;950477;32453;LAW;0;-1;-1
17845788;950477;107971;LAW;0;-1;-1
17845789;950477;219285;LAW;0;-1;-1
17845790;950477;221303;LAW;0;-1;-1
17845791;950477;289870;LAW;0;-1;-1
17845792;950477;110802;QSOV;0;-1;-1
17846073;1190442;301801;LAW;0;-1;-1
17846074;1190442;77108;CJI;0;-1;-1
17846075;1190442;79951;CJI;0;-1;-1
17846076;1190442;97096;CJI;0;-1;-1
17846077;1190442;97933;CJI;0;-1;-1
17846078;1190442;100064;CJI;0;-1;-1
17846079;1190442;106716;CJI;0;-1;-1
17846080;1190442;18125;CMB;0;-1;-1
18151786;1194722;301665;LAW;0;-1;-1
18151787;1194722;312538;LAW;0;-1;-1
18151788;1194722;117435;QSOV;0;-1;-1
19856506;1251179;1090319;MARB009;0;-1;-1
19859168;1245002;594363;MARB009;0;-1;-1
19859169;1245002;1090319;MARB009;0;-1;-1
19859170;1245002;1431233;MARB009;0;-1;-1
19859171;1245002;1450085;MARB009;0;-1;-1
19859172;1245002;1499773;MARB009;0;-1;-1
19859173;1245002;1591422;MARB009;0;-1;-1
19859174;1245002;451385;ARB002;0;-1;-1
20970967;1272119;86005;PBI;0;-1;-1
20970968;1272119;100779;PBI;0;-1;-1
20970969;1272119;201293;PBI;0;-1;-1
20970970;1272119;236143;PBI;0;-1;-1
20970971;1272119;242742;PBI;0;-1;-1
20970972;1272119;300754;RZR;0;-1;-1
21074864;859738;114270;CJI;49920;32798;32798
21074865;859738;115456;CJI;26320;32798;32798
21074866;859738;18040;CMB;0;32799;32799
21472140;1278622;70584;DOF;25461;32870;3
21472141;1278622;90997;DOF;34417;32870;3
21472142;1278622;99953;DOF;0;32870;3
21611484;1281123;446556;ARB002;58169;43013;4
21611485;1281123;451385;ARB002;0;43013;4
21615482;1281164;85588;RZR;42482;32913;0
21615483;1281164;173554;RZR;41540;32913;0
21615484;1281164;303684;RZR;115;32913;0
21615485;1281164;47585;BCN;0;32813;30
21615486;1281164;452330;ARB002;43746;43013;4
21615487;1281164;502498;ARB002;85;43013;4
21615488;1281164;17520;CMB;1;32799;32799
21615489;1281164;265939;AMS;1;24;18
22191983;1285845;1054222;MARB009;30597;43008;41
22191984;1285845;1210245;MARB009;13139;43008;41
22191985;1285845;1258323;MARB009;21446;43008;41
22191986;1285845;1397702;MARB009;8648;43008;41
22191987;1285845;842194;MARB010;12052;43009;41
22191988;1285845;864020;MARB010;37969;43009;41
22191989;1285845;1086545;MARB010;14481;43009;41
22191990;1285845;1128593;MARB010;18191;43009;41
22191991;1285845;1394447;MARB010;22171;43009;41
22191992;1285845;1595035;MARB010;0;43009;41
22191993;1285845;162987;AMS;25887;24;18
22191994;1285845;222495;AMS;4572;24;18
22191995;1285845;266716;AMS;33873;24;18
22191996;1285845;296017;AMS;56;24;18
22217496;1286930;137595;PBI;1;32776;37
22234972;1286914;117509;QSA001;1;43018;2
22234973;1286914;212310;ARB002;10;43013;4
22976621;1305545;114150;CJI;1;32798;32798
22976622;1305545;207545;RZR;10;32913;0
23321468;862531;164585;LAW;18760;1;0
23321469;862531;280904;LAW;54480;1;0
23321470;862531;18756;CMB;0;32799;32799
23552087;1308626;1120465;MARB009;61295;43008;41
23552088;1308626;1437551;MARB009;10413;43008;41
23552089;1308626;1452205;MARB009;31519;43008;41
23552090;1308626;1604383;MARB009;47986;43008;41
23552091;1308626;1620850;MARB009;1;43008;41
23552092;1308626;18504;CMB;0;32799;32799
23552093;1308626;63573;CJI;26326;32798;32798
23552094;1308626;91862;CJI;35840;32798;32798
23552095;1308626;342830;ARB001;17509;43011;4
23552096;1308626;47216;RZR;26728;32913;0
23552097;1308626;157800;RZR;52939;32913;0
23552098;1308626;315083;RZR;0;32913;0
23552099;1308626;155962;BSZ;25164;32810;27
23552100;1308626;275071;AMS;34348;24;18
23552101;1308626;296492;AMS;0;24;18
23552102;1308626;96608;QSA001;19914;43018;2
23552103;1308626;150986;QSA001;34750;43018;2
23552104;1308626;165822;QSA001;35040;43018;2
23552105;1308626;166112;QSA001;43451;43018;2
23552106;1308626;174523;QSA001;109;43018;2
23552107;1308626;191206;ARB002;10;43013;4
23552108;1308626;78991;QSA002;13069;43020;2
23552109;1308626;144141;QSA002;30703;43020;2
23552110;1308626;161775;QSA002;70;43020;2
23642114;1251273;562680;ARB002;55497;43013;4
23642115;1251273;1033372;MARB010;1;43009;41
23642116;1251273;250321;AMS;63638;24;18
23642117;1251273;260246;AMS;11730;24;18
23642118;1251273;273874;AMS;50005;24;18
23642119;1251273;312149;AMS;110;24;18
23642120;1251273;1233653;MARB009;55497;43008;41
23642121;1251273;1235145;MARB009;62224;43008;41
23642122;1251273;1241872;MARB009;64830;43008;41
23642123;1251273;1244478;MARB009;809;43008;41
23642124;1251273;1245993;MARB009;4138;43008;41
23642125;1251273;1249322;MARB009;32247;43008;41
23642126;1251273;1277431;MARB009;3026;43008;41
23642127;1251273;1313746;MARB009;18130;43008;41
23642128;1251273;1328850;MARB009;60547;43008;41
23642129;1251273;1436803;MARB009;5490;43008;41
23642130;1251273;1447282;MARB009;10413;43008;41
23642131;1251273;1452205;MARB009;1385;43008;41
23642132;1251273;1574249;MARB009;817;43008;41
23642133;1251273;1639217;MARB009;5212;43008;41
23642134;1251273;1643612;MARB009;0;43008;41
23832073;1302760;222523;AMS;10;24;18
23832074;1302760;274079;ARB002;8094;43013;4
23832075;1302760;335774;ARB002;39624;43013;4
23832076;1302760;367304;ARB002;14950;43013;4
23832077;1302760;408166;ARB002;34030;43013;4
23832078;1302760;558318;ARB002;0;43013;4
23832079;1302760;3913;CJI;12395;32798;32798
23832080;1302760;77931;CJI;29451;32798;32798
23832081;1302760;94987;CJI;44341;32798;32798
23832082;1302760;109877;CJI;49801;32798;32798
23832083;1302760;115337;CJI;1;32798;32798
23832116;1284656;101806;CJI;10;32798;32798
23832117;1284656;18257;CMB;1;32799;32799
23920938;1321242;199877;AMS;26036;24;18
23920939;1321242;222644;AMS;26510;24;18
23920940;1321242;223118;AMS;28280;24;18
23920941;1321242;224888;AMS;49069;24;18
23920942;1321242;245677;AMS;49260;24;18
23920943;1321242;245868;AMS;49550;24;18
23920944;1321242;246158;AMS;53052;24;18
23920945;1321242;249660;AMS;55092;24;18
23920946;1321242;251700;AMS;63578;24;18
23920947;1321242;260186;AMS;3759;24;18
23920948;1321242;265903;AMS;5528;24;18
23920949;1321242;267672;AMS;12906;24;18
23920950;1321242;275050;AMS;14263;24;18
23920951;1321242;276407;AMS;23343;24;18
23920952;1321242;285487;AMS;35499;24;18
23920953;1321242;297643;AMS;39762;24;18
23920954;1321242;301906;AMS;48787;24;18
23920955;1321242;310931;AMS;49682;24;18
23920956;1321242;311826;AMS;52791;24;18
23920957;1321242;314935;AMS;57523;24;18
23920958;1321242;319667;AMS;57901;24;18
23920959;1321242;320045;AMS;36080;24;18
23920960;1321242;378195;ARB002;1066;43013;4
23920961;1321242;394282;ARB002;3844;43013;4
23920962;1321242;397060;ARB002;3847;43013;4
23920963;1321242;397063;ARB002;31136;43013;4
23920964;1321242;424352;ARB002;43378;43013;4
23920965;1321242;436594;ARB002;6472;43013;4
23920966;1321242;1541612;MARB010;35742;43009;41
23920967;1321242;1608606;MARB010;41376;43009;41
23920968;1321242;1539310;MARB009;47636;43008;41
23920969;1321242;1554964;MARB009;41376;43008;41
23920970;1321242;1614240;MARB009;51329;43008;41
23920971;1321242;1624193;MARB009;56358;43008;41
23920972;1321242;1629222;MARB009;57173;43008;41
23920973;1321242;1630037;MARB009;817;43008;41
23920974;1321242;1639217;MARB009;2662;43008;41
23920975;1321242;1641062;MARB009;5212;43008;41
23920976;1321242;1643612;MARB009;0;43008;41
24136292;1324265;201204;RZR;9715;32913;0
24136293;1324265;206323;RZR;59393;32913;0
24136294;1324265;321537;RZR;60451;32913;0
24136295;1324265;322595;RZR;4376;32913;0
24136296;1324265;120662;CJI;10;32798;32798
24250030;1259788;18504;CMB;10;32799;32799
24250031;1259788;319690;RZR;1;32913;0
24279865;1324813;189707;MNV;1;32902;1
24365559;1325873;321646;AMS;1;24;18
24489144;1328828;321760;LAW;1;1;0
24504507;1276316;301546;RZR;54990;32913;0
24504508;1276316;317134;RZR;0;32913;0
24647314;1330938;87344;AVV;0;29;22
24647315;1330938;584813;ARB002;1;43013;4
24959719;1335078;160651;PBI;47505;32776;37
24959720;1335078;178577;PBI;85;32776;37
24959721;1335078;85587;RZR;0;32913;0
24959722;1335078;49008;CJI;20489;32798;32798
24959723;1335078;86025;CJI;20508;32798;32798
24959724;1335078;86044;CJI;0;32798;32798
24966031;1335156;539531;ARB002;15834;43013;4
24966032;1335156;540122;ARB002;0;43013;4
25008468;1335702;263458;AMS;1;24;18
25018847;1298228;125475;AMS;31015;24;18
25018848;1298228;162087;AMS;5305;24;18
25018849;1298228;201913;AMS;25915;24;18
25018850;1298228;222523;AMS;48855;24;18
25018851;1298228;245463;AMS;16067;24;18
25018852;1298228;278211;AMS;32359;24;18
25018853;1298228;294503;AMS;34398;24;18
25018854;1298228;296542;AMS;35772;24;18
25018855;1298228;297916;AMS;36133;24;18
25018856;1298228;298277;AMS;36149;24;18
25018857;1298228;298293;AMS;36270;24;18
25018858;1298228;298414;AMS;36584;24;18
25018859;1298228;298728;AMS;39761;24;18
25018860;1298228;301905;AMS;42234;24;18
25018861;1298228;304378;AMS;42740;24;18
25018862;1298228;304884;AMS;42826;24;18
25018863;1298228;304970;AMS;44049;24;18
25018864;1298228;306193;AMS;46948;24;18
25018865;1298228;309092;AMS;49023;24;18
25018866;1298228;311167;AMS;51028;24;18
25018867;1298228;313172;AMS;51167;24;18
25018868;1298228;313311;AMS;55947;24;18
25018869;1298228;318091;AMS;56963;24;18
25018870;1298228;319107;AMS;60740;24;18
25018871;1298228;322884;AMS;61006;24;18
25018872;1298228;323150;AMS;61219;24;18
25018873;1298228;323363;AMS;0;24;18
25018874;1298228;180533;ARB002;49462;43013;4
25018875;1298228;180534;ARB002;30382;43013;4
25018876;1298228;226990;ARB002;11935;43013;4
25018877;1298228;274079;ARB002;63378;43013;4
25018878;1298228;522130;ARB002;34030;43013;4
25018879;1298228;558318;ARB002;36080;43013;4
25018880;1298228;560368;ARB002;0;43013;4
25018881;1298228;3913;CJI;10870;32798;32798
25018882;1298228;10870;CJI;12406;32798;32798
25018883;1298228;12406;CJI;115;32798;32798
25018884;1298228;1059997;MARB009;40995;43008;41
25018885;1298228;1351715;MARB009;56476;43008;41
25018886;1298228;1432732;MARB009;25915;43008;41
25027997;1251275;129933;MARB009;8122;43008;41
25027998;1251275;139194;MARB009;1087;43008;41
25027999;1251275;197695;MARB009;29436;43008;41
25028000;1251275;357116;MARB009;48608;43008;41
25028001;1251275;441824;MARB009;4539;43008;41
25028002;1251275;594363;MARB009;12492;43008;41
25028003;1251275;995532;MARB009;5470;43008;41
25028004;1251275;1250654;MARB009;32330;43008;41
25028005;1251275;1277514;MARB009;0;43008;41
25028006;1251275;113915;AMS;55210;24;18
25028007;1251275;120746;AMS;53076;24;18
25028008;1251275;184148;AMS;5644;24;18
25028009;1251275;202252;AMS;42313;24;18
25028010;1251275;238921;AMS;50969;24;18
25028011;1251275;247577;AMS;55987;24;18
25028012;1251275;252595;AMS;58075;24;18
25028013;1251275;254683;AMS;62445;24;18
25028014;1251275;259053;AMS;510;24;18
25028015;1251275;262654;AMS;1731;24;18
25028016;1251275;263875;AMS;3130;24;18
25028017;1251275;265274;AMS;7097;24;18
25028018;1251275;269241;AMS;12833;24;18
25028019;1251275;274977;AMS;16973;24;18
25028020;1251275;279117;AMS;18405;24;18
25028021;1251275;280549;AMS;18991;24;18
25028022;1251275;281135;AMS;22022;24;18
25028023;1251275;284166;AMS;24405;24;18
25028024;1251275;286549;AMS;24732;24;18
25028025;1251275;286876;AMS;34724;24;18
25028026;1251275;296868;AMS;39115;24;18
25028027;1251275;301259;AMS;45430;24;18
25028028;1251275;307574;AMS;50182;24;18
25028029;1251275;312326;AMS;51916;24;18
25028030;1251275;314060;AMS;55189;24;18
25028031;1251275;317333;AMS;48848;24;18
25028032;1251275;50297;ARB002;1839;43013;4
25028033;1251275;329519;ARB002;21040;43013;4
25028034;1251275;348720;ARB002;26050;43013;4
25028035;1251275;484802;ARB002;61783;43013;4
25028036;1251275;520535;ARB002;38415;43013;4
25028037;1251275;562703;ARB002;48968;43013;4
25028038;1251275;573256;ARB002;0;43013;4
25090235;1251174;504665;ARB002;51961;43013;4
25090236;1251174;576249;ARB002;6704;43013;4
25093060;1336728;213932;RZR;1;32913;0
25912561;1359406;89181;DOF;39182;32870;3
25912562;1359406;113042;CJI;0;32798;32798
26008751;1360643;111953;CJI;0;32798;32798
26021024;1360751;106668;CJI;1;32798;32798
26021025;1360751;234954;PBI;0;32776;37
26040379;1360981;236770;SOSB;62937;32908;32908
26040380;1360981;259545;SOSB;62955;32908;32908
26040381;1360981;259563;SOSB;62967;32908;32908
26040382;1360981;259575;SOSB;62983;32908;32908
26040383;1360981;259591;SOSB;924;32908;32908
26040384;1360981;263068;SOSB;50261;32908;32908
26040385;1360981;156436;LAW;1;1;0
26136434;1341250;308584;RZR;1;32913;0
26136435;1341250;122891;CJI;0;32798;32798
26136436;1341250;167678;QSA;51405;QSA001;2
26136437;1341250;182477;QSA;85;QSA001;2
26184147;1362709;176896;SOSB;1;32908;32908
26184148;1362709;89120;LAW;0;1;0
26219344;1308731;18504;CMB;1;32799;32799
26451587;1366763;863872;MARB;40579;MARB009;41
26451588;1366763;958083;MARB;18015;MARB009;41
26451589;1366763;1001055;MARB;30822;MARB009;41
26451590;1366763;1013862;MARB;6806;MARB009;41
26451591;1366763;1055382;MARB;20802;MARB009;41
26451592;1366763;1069378;MARB;23236;MARB009;41
26451593;1366763;1071812;MARB;1670;MARB009;41
26451594;1366763;1181318;MARB;3788;MARB009;41
26451595;1366763;1183436;MARB;45450;MARB009;41
26451596;1366763;1225098;MARB;5766;MARB009;41
26451597;1366763;1644166;MARB;24801;MARB009;41
26451598;1366763;162029;BPV;1;32809;26
26451599;1366763;103273;CJI;0;32798;32798
26451600;1366763;210815;RZR;16967;32913;0
26451601;1366763;279111;RZR;62019;32913;0
26451602;1366763;324163;RZR;64227;32913;0
26451603;1366763;326371;RZR;65359;32913;0
26451604;1366763;327503;RZR;0;32913;0
26451605;1366763;316462;AMS;10;24;18
26561520;1275743;185130;AMS;56232;24;18
26561521;1275743;187304;AMS;58974;24;18
26561522;1275743;190046;AMS;43773;24;18
26561523;1275743;305917;AMS;17440;24;18
26561524;1275743;11817;ARB;39992;ARB002;4
26561525;1275743;105528;ARB;28727;ARB002;4
26561526;1275743;356407;ARB;39023;ARB002;4
26561527;1275743;366703;ARB;55426;ARB002;4
26561528;1275743;448642;ARB;53731;ARB002;4
26561529;1275743;578019;ARB;257;ARB002;4
26561530;1275743;742;PPVS;0;32875;32875
26642990;1369284;579545;ARB;0;ARB002;4
26659298;1369472;148356;RZR;1;32913;0
26752080;1370086;296977;RZR;1;32913;0
26753471;1338043;131143;QSA;1451;QSA002;2
26753472;1338043;132523;QSA;0;QSA002;2
26753473;1338043;55460;QSA;36142;QSA001;2
26753474;1338043;167214;QSA;85;QSA001;2
26782841;1369866;71355;DOF;20415;32870;3
26782842;1369866;85951;DOF;24602;32870;3
26782843;1369866;90138;DOF;25468;32870;3
26782844;1369866;91004;DOF;110;32870;3
26782845;1369866;107970;RZR;34833;32913;0
26782846;1369866;296977;RZR;0;32913;0
26782847;1369866;75790;CJI;18296;32798;32798
26782848;1369866;83832;CJI;39879;32798;32798
26782849;1369866;105415;CJI;53796;32798;32798
26782850;1369866;119332;CJI;56;32798;32798
26856514;1266858;312161;RZR;10;32913;0
26867946;1370828;1267680;MARB;24574;MARB009;41
26867947;1370828;1662974;MARB;50220;MARB009;41
26867948;1370828;1688620;MARB;53620;MARB009;41
26867949;1370828;1692020;MARB;56;MARB009;41
26867950;1370828;216698;AMS;48819;24;18
26867951;1370828;245427;AMS;53092;24;18
26867952;1370828;249700;AMS;57271;24;18
26867953;1370828;253879;AMS;37480;24;18
26965413;1246805;14004;RZR;65498;32913;0
26965414;1246805;65498;RZR;39728;32913;0
26965415;1246805;105264;RZR;12791;32913;0
26965416;1246805;143863;RZR;17284;32913;0
26965417;1246805;148356;RZR;31083;32913;0
26965418;1246805;162155;RZR;35561;32913;0
26965419;1246805;166633;RZR;50530;32913;0
26965420;1246805;181602;RZR;10937;32913;0
26965421;1246805;207545;RZR;15882;32913;0
26965422;1246805;212490;RZR;19033;32913;0
26965423;1246805;215641;RZR;22263;32913;0
26965424;1246805;218871;RZR;22265;32913;0
26965425;1246805;218873;RZR;24177;32913;0
26965426;1246805;286321;RZR;52635;32913;0
26965427;1246805;314779;RZR;52847;32913;0
26965428;1246805;314991;RZR;0;32913;0
26965429;1246805;429679;ARB;23376;ARB001;4
26965430;1246805;482128;ARB;31242;ARB001;4
26965431;1246805;489994;ARB;41068;ARB001;4
26965432;1246805;565356;ARB;56;ARB001;4
26965433;1246805;138203;ARB;47963;ARB002;4
26965434;1246805;572251;ARB;39728;ARB002;4
27272311;1375214;169581;QSA;0;QSA001;2
27309229;1375563;97314;AVS;0;30;23
27309230;1375563;1217509;MARB;0;MARB009;41
27804476;1324630;219723;PBI;10;32776;37
27804477;1324630;15897;CMB;18534;32799;32799
27804478;1324630;18534;CMB;0;32799;32799
27804582;1377944;18534;CMB;1;32799;32799
27812118;1378014;137349;RZR;62019;32913;0
27812119;1378014;324163;RZR;0;32913;0
27815761;1378058;326224;LAW;1;1;0
27851871;1376812;1292533;MARB;0;RAMSMARB;41
27851872;1376812;18161;CMB;10;32799;32799
28061775;1381393;1699447;MARB;1;MARB009;41
28068776;1366894;881072;MARB;18305;MARB009;41
28068777;1366894;1329025;MARB;5766;MARB009;41
28068778;1366894;1644166;MARB;41207;MARB009;41
28068779;1366894;1679607;MARB;42910;MARB009;41
28068780;1366894;1681310;MARB;61047;MARB009;41
28068781;1366894;1699447;MARB;50984;MARB009;41
28068784;1366373;181148;QSA;1;QSA002;2
28068785;1366373;1051893;MARB;54264;MARB009;41
28068786;1366373;1168376;MARB;52491;MARB009;41
28068787;1366373;1232139;MARB;21366;MARB009;41
28068788;1366373;1266550;MARB;24508;MARB009;41
28068789;1366373;1269692;MARB;31778;MARB009;41
28068790;1366373;1276962;MARB;65333;MARB009;41
28068791;1366373;1310517;MARB;52067;MARB009;41
28068792;1366373;1428323;MARB;9007;MARB009;41
28068793;1366373;1450799;MARB;9162;MARB009;41
28068794;1366373;1582026;MARB;62751;MARB009;41
28068795;1366373;1635615;MARB;22357;MARB009;41
28068796;1366373;1660757;MARB;42910;MARB009;41
28068797;1366373;1681310;MARB;61047;MARB009;41
28068798;1366373;1699447;MARB;22272;MARB009;41
28068799;1366373;339093;ARB;53878;ARB002;4
28068800;1366373;447094;ARB;6462;ARB002;4
28068801;1366373;465214;ARB;64222;ARB002;4
28068802;1366373;522974;ARB;22770;ARB002;4
28068803;1366373;547058;ARB;31778;ARB002;4
28068804;1366373;1607310;MARB;35706;MARB010;41
28068805;1366373;1608570;MARB;14211;MARB010;41
28068806;1366373;106595;AMS;42577;24;18
28068807;1366373;108113;AMS;14211;24;18
28068808;1366373;145283;AMS;16522;24;18
28068809;1366373;147594;AMS;12085;24;18
28068810;1366373;208693;AMS;19808;24;18
28068811;1366373;216416;AMS;31357;24;18
28068812;1366373;227965;AMS;58810;24;18
28068813;1366373;255418;AMS;11507;24;18
28068814;1366373;273651;AMS;19939;24;18
28068815;1366373;282083;AMS;37249;24;18
28068816;1366373;299393;AMS;49874;24;18
28068817;1366373;312018;AMS;54318;24;18
28068818;1366373;316462;AMS;60084;24;18
28068819;1366373;322228;AMS;0;24;18
28068820;1366373;96232;CJI;10;32798;32798
28286287;1283382;198382;RZR;40679;32913;0
28286288;1283382;302823;RZR;0;32913;0
28638808;1388711;130970;QSA;1;QSA002;2
28814952;1390845;154329;AMS;1;24;18
28816242;1390633;158586;ARB;26677;ARB002;4
28816243;1390633;288821;ARB;12269;ARB002;4
28816244;1390633;339949;ARB;116;ARB002;4
28816245;1390633;35129;RZR;23317;32913;0
28816246;1390633;219925;RZR;0;32913;0
28816247;1390633;36237;AMS;8543;24;18
28816248;1390633;74079;AMS;58946;24;18
28816249;1390633;124482;AMS;65478;24;18
28816250;1390633;131014;AMS;2344;24;18
28816251;1390633;133416;AMS;2362;24;18
28816252;1390633;133434;AMS;14877;24;18
28816253;1390633;145949;AMS;20425;24;18
28816254;1390633;151497;AMS;23257;24;18
28816255;1390633;154329;AMS;27984;24;18
28816256;1390633;159056;AMS;46930;24;18
28816257;1390633;178002;AMS;50638;24;18
28816258;1390633;181710;AMS;52167;24;18
28816259;1390633;183239;AMS;59127;24;18
28816260;1390633;190199;AMS;6836;24;18
28816261;1390633;203444;AMS;9963;24;18
28816262;1390633;206571;AMS;11017;24;18
28816263;1390633;207625;AMS;15474;24;18
28816264;1390633;212082;AMS;21513;24;18
28816265;1390633;218121;AMS;34952;24;18
28816266;1390633;231560;AMS;39769;24;18
28816267;1390633;301913;AMS;60086;24;18
28816268;1390633;322230;AMS;34352;24;18
28816269;1390633;14;PSP;1;32815;32815
28816270;1390633;31366;BVV;10;32805;22
28816271;1390633;430447;ARB;58946;ARB001;4
29045751;1391846;808;CJI;25498;32798;32798
29045752;1391846;25498;CJI;44659;32798;32798
29045753;1391846;44659;CJI;45295;32798;32798
29045754;1391846;45295;CJI;55765;32798;32798
29045755;1391846;55765;CJI;55778;32798;32798
29045756;1391846;55778;CJI;57068;32798;32798
29045757;1391846;57068;CJI;57672;32798;32798
29045758;1391846;57672;CJI;58746;32798;32798
29045759;1391846;58746;CJI;19338;32798;32798
29045760;1391846;84874;CJI;26017;32798;32798
29045761;1391846;91553;CJI;30328;32798;32798
29045762;1391846;95864;CJI;32857;32798;32798
29045763;1391846;98393;CJI;33065;32798;32798
29045764;1391846;98601;CJI;33339;32798;32798
29045765;1391846;98875;CJI;42502;32798;32798
29045766;1391846;108038;CJI;45974;32798;32798
29045767;1391846;111510;CJI;55906;32798;32798
29045768;1391846;121442;CJI;8192;32798;32798
29045769;1391846;18179;CMB;1;32799;32799
29247482;1394426;599061;ARB;1;ARB002;4
29449378;1397215;160746;ARB;49435;ARB002;4
29449379;1397215;442651;ARB;85;ARB002;4
29449380;1397215;115432;BZS;0;32808;25
29449381;1397215;179858;AMS;8163;24;18
29449382;1397215;204771;AMS;0;24;18
29449383;1397215;22533;PBI;1;32776;37
29449752;1397211;109498;BPV;1;32809;26
29449753;1397211;9514;CMB;1;32799;32799
29449754;1397211;1754;BSZ;0;32810;27
29449755;1397211;22533;PBI;43356;32776;37
29449756;1397211;174428;PBI;60625;32776;37
29449757;1397211;191697;PBI;15620;32776;37
29449758;1397211;212228;PBI;56;32776;37
29449759;1397211;85114;CJI;10;32798;32798
29449760;1397211;5264;ARB;17853;ARB002;4
29449761;1397211;214461;ARB;0;ARB002;4
29453241;1396382;66303;CJI;0;32798;32798
29453242;1396382;255055;PBI;58957;32776;37
29453243;1396382;255565;PBI;0;32776;37
29465586;1397445;122353;CJI;10;32798;32798
29465587;1397445;563130;ARB;1;ARB002;4
29567983;1398525;167239;ARB;10;ARB002;4
29567984;1398525;1473120;MARB;1;MARB010;41
29568219;1324629;307074;RZR;3116;32913;0
29568220;1324629;330796;RZR;0;32913;0
29568221;1324629;43371;RGSS;10;32874;32874
29568222;1324629;110621;CJI;52628;32798;32798
29568223;1324629;118164;CJI;57918;32798;32798
29568224;1324629;123454;CJI;115;32798;32798
29568225;1324629;18403;CMB;1;32799;32799
29800680;1274116;283621;RZR;25972;32913;0
29800681;1274116;175140;QSA;0;QSA002;2
29800682;1274116;178029;BSZ;0;32810;27
29800683;1274116;94804;BDV;10;32807;24
